長期,運転,600226,R7.4.28,R17.4.15,R10.5.15,兵信,2,10,"2,000",保,,,,,変,1.45%,,1.45%,"239,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",返済3年据置
長期,運転,600227,R7.4.28,R17.4.15,R10.5.15,兵信,3,10,"1,000",保,,,,,変,1.45%,,1.45%,"120,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",返済3年据置
長期,運転,600311,R7.11.10,R17.10.15,R7.11.15,兵信,4,10,"5,000",保,,,,,変,1.45%,,1.45%,"417,000","49,166,000","48,749,000","48,332,000","47,915,000","47,498,000","47,081,000","46,664,000","46,247,000","45,830,000","45,413,000","44,996,000","44,579,000","44,162,000",
長期,運転,,R7.4.28,R17.4.15,R10.5.15,播信,1,10,"3,000",保,,,,,変,1.45%,,1.45%,"358,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000",返済3年据置
長期,運転,71819,R7.4.25,R12.4.15,R7.4.15,中国,1,5,"5,000",P,,,,,変,1.20%,,1.20%,"834,000","43,328,000","42,494,000","50,000,000","49,166,000","48,332,000","47,498,000","46,664,000","45,830,000","44,996,000","44,162,000","43,328,000","42,494,000","41,660,000",
長期,設備,,R7.12.19,R22.12.17,R8.1.15,合同銀行,1,15,"3,000",P,,,土地担保,,変,1.80%,,1.80%,"167,000","30,000,000","29,833,000","29,666,000","29,499,000","29,332,000","29,165,000","28,998,000","28,831,000","28,664,000","28,497,000","28,330,000","28,163,000","27,996,000",
,,,,,,,,,,,,,,,,,,,長期残高合計,"660,539,000","652,202,000","657,205,000","648,868,000","640,531,000","632,194,000","623,857,000","615,520,000","607,183,000","598,846,000","590,509,000","582,172,000","573,835,000",
,,,,,,,,,,,,,,,,,,,月返済額合計,,"6,919,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000","9,054,000",
,,,,,,,,,,,,,,,,,,,年返済額合計,,"83,028,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000","108,648,000",
,,,,,,,,,,,,,,,,,,,返済月数,,94.3,72.6,71.7,70.7,69.8,68.9,68.0,67.1,66.1,65.2,64.3,63.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
種類,種類,証書番号,融資日,最終期限,引落日,銀行名,番号,期間/年,融資額,条件,保証協会,保証枠/種類,保証枠/担保,保証制度,条件,利率,保証料,利率計,月返済額,返済残高,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,備考
短期,運転,089,R7.9.30,R8.3.31,R8.3.31,播信,2,6ヶ月,"2,000",P,,,,,変,1.65%,,1.65%,,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",,,,,,
,,,,,,,,,,,,,,,,,,,短期残高合計,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,融資残高合計,,"672,202,000","677,205,000","668,868,000","660,531,000","652,194,000","643,857,000","635,520,000","607,183,000","598,846,000","590,509,000","582,172,000","573,835,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
種類,,証書番号,融資日,最終期限,引落日,銀行名,番号,期間/年,融資額,条件,保証協会,保証枠/種類,保証枠/担保,保証制度,条件,利率,保証料,利率計,月返済額,返済残高,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,備考
当座貸越,,,,,,姫信,1,,"2,000",P,,,,,変,1.437%,,1.44%,,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",,,,,,,,,
当座貸越,,,,,,山陰合同,1,,"3,000",,,,,,固,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,借入枠合計,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",0,0,0,0,0,0,0,0,
